News Title,Proverb,Similarity level
"Emissões atmosféricas aumentaram em 2017
","nuvens pequenas, altas e escuras são chuvas certas e seguras.
",0.58980095
"FMI quer impostos mais altos no carbono e avisa que fatura da energia tem de aumentar
","quanto mais alto, maior é a queda.
",0.81510437
"‘Fatura do Ambiente’ revela que potencial de aquecimento global é maior que a atividade económica
","a boa fé é uma moeda, que quase não tem curso no comércio da vida.
",0.85080177
"""Em 2017 o potencial de aquecimento global aumentou 6,9% em Portugal""
","na confiança está o perigo.
",0.8362469
"""Como substituir o plástico descartável? Solução é reutilizar, diz Zero""
","viver é como desenhar sem borracha.
",0.70057255
"Dezenas de milhares de pessoas em protesto pelo clima na Europa e na Ásia
","desconfiai de vós, dos homens e do mundo, mas confiai em Deus.
",0.86930287
"Produção de combustíveis fósseis cresce 50% acima do necessário para travar aquecimento global
","a água é tão útil às plantas como o alimento aos animais.
",0.7976934
"Ponto por ponto. Tudo o que está em causa na cimeira do clima em Madrid
","na confiança está o perigo.
",0.88008994
"Pretende reduzir as emissões de gases de efeito estufa? Esteja atento às tecnologias digitais
","a ordem dos fatores não altera o produto.
",0.7849008
"Temperatura da Terra vai subir mesmo que compromissos sejam cumpridos
","a maior virtude dos que falam é calar o que não devem dizer.
",0.8163149
"Parlamento Europeu declara “emergência climática e ambiental”
","à mulher de César não basta parecer.
",0.64873624
"""Quanto mais a Amazónia arde, mais derrete o gelo dos Andes""
","quanto mais depressa, mais devagar.
",0.7460585
"Milhares de jovens juntam-se em Lisboa em defesa do clima
","desconfiai de vós, dos homens e do mundo, mas confiai em Deus.
",0.88550895
"Do clima ao Brexit: os desafios da Comissão Von der Leyen
","todos os caminhos vão dar a Roma.
",0.59676373
"Greve global: Esperados mais de 100 mil manifestantes nas ruas de 153 paises em defesa do planeta
","desconfiai de vós, dos homens e do mundo, mas confiai em Deus.
",0.8847365
"Lisboa vai plantar 20 mil árvores e preparar-se para as alterações climáticas
","dinheiro não nasce nas árvores.
",0.8133359
"O antes e depois do degelo nos glaciares da Suíça
","depois do mal feito, todos o tinham previsto.
",0.5790863
"Cientistas alertam que vários dos “piores cenários climáticos” já estão a acontecer
","os últimos são sempre os primeiros.
",0.78544855
"""Até 2030 o mundo tem de reduzir anualmente 7,6% das suas emissões de gases de estufa""
","desconfiai de vós, dos homens e do mundo, mas confiai em Deus.
",0.8853773
"Ciclones tropicais vão ser cada vez mais frequentes na Europa
","os vivos são sempre e cada vez mais governados pelos mais vivos.
",0.80912966
"A Terra Inabitável. Quando o terror é a reacção adequada
","nem tanto ao mar nem tanto à terra.
",0.71111095
"Urgência climática: OCDE quer que doadores parem de subsidiar combustíveis fósseis nos países em desenvolvimento
","na boda dos pobres, tudo são vozes.
",0.75390124
"Canal de Suez faz 150 anos ameaçado pela rota num Ártico sem gelo
","há mar e mar, há ir e voltar.
",0.742175
"Clima: portugueses acreditam que protestos podem gerar novas políticas
","em questões de amor e bravura, os que mais roncam são os que menos fazem.
",0.77824336
"“Ainda não é demasiado tarde para salvarmos os oceanos”
","para baixo todos os santos ajudam, para cima é que as coisas mudam.
",0.83551294
"Nações Unidas alertam que temperatura do planeta vai aumentar
","a água é tão útil às plantas como o alimento aos animais.
",0.7154154
"A 29 de Novembro há nova Greve Climática Estudantil — para inaugurar a “época de ouro do activismo”
","março, marçagão, manhã de inverno, tarde de verão.
",0.86900884
"Clima – 10 resoluções para 2020
","o Sol nasce para todos, e a sombra para poucos.
",0.6685392
"Nova meta de inflação e combate ao aquecimento global. O BCE redefine a sua missão
","a boa fé é uma moeda, que quase não tem curso no comércio da vida.
",0.77756006
"Nível atual de emissão de gases vai elevar a temperatura mais três graus
","a ordem dos fatores não altera o produto.
",0.8332161
"Malásia devolve 150 contentores ilegais de lixo a países desenvolvidos
","os fins (não) justificam os meios.
",0.6393016
"Relógio do Apocalipse coloca humanidade a 100 segundos do fim
","quem dá e torna a tirar ao inferno vai parar.
",0.6835574
"""Tempestade """"Glória"""" fez 12 mortos em Espanha. Governo culpa alterações climáticas""
","nem tanto ao mar nem tanto à terra.
",0.8113735
"Impacto mais antigo de um asteroide na Terra ocorreu na Austrália há 2.229 milhões de anos
","criados e bois - nem menos de um ano nem mais de dois.
",0.86944073
"Atuais emissões de gases vão provocar aumento de três graus nas temperaturas
","a ordem dos fatores não altera o produto.
",0.7769681
"Quer combater o aquecimento global? Plante uma árvore
","por uma besta dar um coice não se lhe corta uma perna.
",0.70138365
"Veredicto abre a porta a protecção para “refugiados climáticos”
","estar a olhar para qualquer coisa como um boi para um palácio.
",0.68932426
"PAN propõe fim da isenção do imposto do petróleo para avião e barcos
","quem vai ao mar perde o lugar.
",0.7154722
"Judoca Jorge Fonseca galardoado com o prémio Ética no Desporto de 2019
","a palavra é de prata e o silêncio é de ouro.
",0.637313
"Paulo Gonçalves condecorado a título póstumo com Colar de Honra ao Mérito Desportivo
","o maior revés nada vale, quando a honra fica de pé.
",0.68715006
"Judocas Jorge Fonseca e Patrícia Sampaio eleitos atletas do ano na Gala do Desporto
","santos da casa não fazem milagres.
",0.63162404
"Óculos de natação com realidade aumentada
","a criança é com os arbustosinhos; também precisa de um arrimo.
",0.684713
"De pequenino se começa a rolar no primeiro skatepark do Porto
","a boca do ambicioso só se fecha com terra de sepultura.
",0.82887685
"Única medalhada do Irão desertou: “Sou uma de milhões de mulheres oprimidas”
","desconfiai de vós, dos homens e do mundo, mas confiai em Deus.
",0.88983285
"Reações à morte do ""Speedy"", o altruísta que parou para ajudar um rival no deserto
","quem o seu cão quer matar chama-lhe raivoso.
",0.78945744
"Magia dos patins faz a Oliveirense crescer no hóquei
","dois pardais numa espiga, nunca fazem liga.
",0.48643878
"Kobe Bryant, o fim trágico de uma estrela
","mais vale uma vista do dono, que cem brados do abegão.
",0.7088901
"Presidente da federação de Andebol diz que Tóquio2020 seria ""topo do topo""
","longe da vista, longe do coração.
",0.779987
"Mais rápido, mais alto, mais forte. Um calendário para homenagear os paralímpicos
","mais alto é aquele que mais tem.
",0.9136138
"Seleção portuguesa de andebol recebida com fortes aplausos na chegada a Lisboa
","vozes da aldeia, não crer nem em meia; vozes da cidade, a metade da metade.
",0.7564806
"Atletas de 22 nacionalidades correram na Meia Maratona Manuela Machado
","em Janeiro uma hora por inteiro e quem bem contar hora e meia há-de encontrar.
",0.6171628
"Paulo Gonçalves. Uma vida de suor dedicada a correr na areia em imagens
","a boa fé é uma moeda, que quase não tem curso no comércio da vida.
",0.8520793
"Queda impressionante de jogador interrompe Benfica-F.C. Porto em basquetebol
","o maior revés nada vale, quando a honra fica de pé.
",0.7626852
"Ford experimenta um novo combustível: óleo de cozinha
","água pelo São João tira azeite e não dá pão.
",0.7134227
"Escócia terá energia 100% renovável até ao final de 2020
","mais vale um ano à volta que nunca a casa.
",0.7643769
"Em Idanha-a-Nova vai crescer um aldeamento sustentável para viver ou visitar
","estar a olhar para qualquer coisa como um boi para um palácio.
",0.8416847
"Um museu temporário para mudar comportamentos para sempre
","estar a olhar para qualquer coisa como um boi para um palácio.
",0.89500576
"Destruídos 41 mil ninhos de vespa-asiática em cinco anos
","nove meses de Inverno, três de inferno.
",0.81754935
"""Não é com mais barragens"" que se resolve falta de água, mas também pode ser
","assás é de pouco saber quem se mata pelo que não pode haver.
",0.9267546
"ONU critica inação no Pinhal de Leiria
","março, marçagão, de manhã Inverno, à tarde Verão.
",0.5407924
"O vírus não precisa de passaporte
","a mulher de César tem que ser, não basta parecer.
",0.7103393
"Ministro do Ambiente apoia central de dessalinização no Algarve
","a grama é sempre mais verde do lado do vizinho.
",0.72089064
"O “Brexit”, a geopolítica atlântica e a macrorregião europeia peninsular
","a união faz a força.
",0.47308394
"E que tal usar flores, vermes e estrume para reduzir a poluição das águas?
","a água é tão útil às plantas como o alimento aos animais.
",0.8155744
"Investigador sugere que os OVNIs são pilotados por humanos do futuro
","os vivos são sempre e cada vez mais governados pelos mais vivos.
",0.82463044
"Proteção de dados pessoais é condição da dignidade.
","a ordem dos fatores não altera o produto.
",0.75629747
"Nível atual de emissão de gases vai elevar a temperatura mais três graus
","a ordem dos fatores não altera o produto.
",0.8332161
"Máscaras esgotam nas farmácias, das mais simples às mais elaboradas
","não há cabeças mais duras, que as cabeças vazias.
",0.79158187
"Médicos fazem exames desportivos à pressão e a troco de 2,3 euros por consulta
","quem gasta sem fazer contas, arruína-se sem dar por isso.
",0.7532315
"Auriol Dongmo fixa novo recorde de Portugal no peso feminino
","no dia de S. Martinho vai à adega e prova o vinho.
",0.7238209
"Paulo Conceição com novo recorde de Portugal no salto em altura
","zombai do tolo em casa, zombará convosco na praça.
",0.86060095
"Kobe Bryant: Eternidade chegou depressa de mais a quem nasceu para se tornar uma lenda
","quem nasceu para burro nunca chega a cavalo.
",0.8390926
