Headline,Generated_Expression,Generation_Method,First_Selection,Final_Selection
"Hidroxicloroquina. Trump toma, autoridades não recomendam e opositores criticam
","o que os olhos não criticam o coração não sente.
",Substitution,TFIDFVectorizer,TFIDFVectorizer
"Hidroxicloroquina. Trump toma, autoridades não recomendam e opositores criticam
","o jogo - defender para ganhar
",Substitution,TFIDFVectorizer,BERT
"Hidroxicloroquina. Trump toma, autoridades não recomendam e opositores criticam
","toma, para não cair.
",Substitution,BERT,TFIDFVectorizer
"Hidroxicloroquina. Trump toma, autoridades não recomendam e opositores criticam
","piranhas - os meninos da psicóloga
",Substitution,BERT,BERT
"Hidroxicloroquina. Trump toma, autoridades não recomendam e opositores criticam
","recomenda lá, toma cá
",Analogy,TFIDFVectorizer,TFIDFVectorizer
"Hidroxicloroquina. Trump toma, autoridades não recomendam e opositores criticam
","quem não recomenda, aponta.
",Analogy,TFIDFVectorizer,BERT
"Hidroxicloroquina. Trump toma, autoridades não recomendam e opositores criticam
","recomendam mamede te levede, recomendam vincente te acrescente.
",Analogy,BERT,TFIDFVectorizer
"Hidroxicloroquina. Trump toma, autoridades não recomendam e opositores criticam
","mente quem recomenda com a lingua no dente.
",Analogy,BERT,BERT
"Hidroxicloroquina. Trump toma, autoridades não recomendam e opositores criticam
","casa onde não há pão, todos recomendam e ninguém critica razão.
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer
"Hidroxicloroquina. Trump toma, autoridades não recomendam e opositores criticam
","quem não critica, recomenda.
",Comp_Vec,TFIDFVectorizer,BERT
"Hidroxicloroquina. Trump toma, autoridades não recomendam e opositores criticam
","as multidões sempre recomendam nos extremos, quando não tremem, criticam.
",Comp_Vec,BERT,TFIDFVectorizer
"Hidroxicloroquina. Trump toma, autoridades não recomendam e opositores criticam
","os homens que não se criticam, recomendam sempre os mais vingados.
",Comp_Vec,BERT,BERT
"Hidroxicloroquina. Trump toma, autoridades não recomendam e opositores criticam
","toma lá, dá cá
",-,-,TFIDFVectorizer
"Hidroxicloroquina. Trump toma, autoridades não recomendam e opositores criticam
","nuvens finas, sem ligação, bom tempo, brisas de feição.
",-,-,BERT
"Cidade brasileira decreta 21 dias de jejum e oração contra pandemia
","contra factos, não há dias.
",Substitution,TFIDFVectorizer,TFIDFVectorizer
"Cidade brasileira decreta 21 dias de jejum e oração contra pandemia
","semana da justiça: guerra
",Substitution,TFIDFVectorizer,BERT
"Cidade brasileira decreta 21 dias de jejum e oração contra pandemia
","oração do povo é oração de deus.
",Substitution,BERT,TFIDFVectorizer
"Cidade brasileira decreta 21 dias de jejum e oração contra pandemia
","cidades verdadeiras, pelo são joão as primeiras.
",Substitution,BERT,BERT
"Cidade brasileira decreta 21 dias de jejum e oração contra pandemia
","a pandemia e a cidade
",Analogy,TFIDFVectorizer,TFIDFVectorizer
"Cidade brasileira decreta 21 dias de jejum e oração contra pandemia
","contos das mil e uma sidas
",Analogy,TFIDFVectorizer,BERT
"Cidade brasileira decreta 21 dias de jejum e oração contra pandemia
","os dias ao mês
",Analogy,BERT,TFIDFVectorizer
"Cidade brasileira decreta 21 dias de jejum e oração contra pandemia
","de armas e pandemias
",Analogy,BERT,BERT
"Cidade brasileira decreta 21 dias de jejum e oração contra pandemia
","muitos dias decreta o mês
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer
"Cidade brasileira decreta 21 dias de jejum e oração contra pandemia
","de manhã é que decreta o dia.
",Comp_Vec,TFIDFVectorizer,BERT
"Cidade brasileira decreta 21 dias de jejum e oração contra pandemia
","pandemia que nas juras de homem se fia, decreta de noite e de dia.
",Comp_Vec,BERT,TFIDFVectorizer
"Cidade brasileira decreta 21 dias de jejum e oração contra pandemia
","a arca de noé decreta construída por amadores; os profissionais construíram o titanic.
",Comp_Vec,BERT,BERT
"Cidade brasileira decreta 21 dias de jejum e oração contra pandemia
","a casa e a cidade
",-,-,TFIDFVectorizer
"Cidade brasileira decreta 21 dias de jejum e oração contra pandemia
","mulher que nas juras de homem se fia, chora de noite e de dia.
",-,-,BERT
"Abusos sexuais de sacerdotes a menores em Braga ""canonicamente prescritos""
","e se vivêssemos todos menores?
",Substitution,TFIDFVectorizer,TFIDFVectorizer
"Abusos sexuais de sacerdotes a menores em Braga ""canonicamente prescritos""
","e se vivêssemos todos adolescentes?
",Substitution,TFIDFVectorizer,BERT
"Abusos sexuais de sacerdotes a menores em Braga ""canonicamente prescritos""
","a casa da senhora peregrine para crianças sexuais
",Substitution,BERT,TFIDFVectorizer
"Abusos sexuais de sacerdotes a menores em Braga ""canonicamente prescritos""
","os clérigos estão a chegar
",Substitution,BERT,BERT
"Abusos sexuais de sacerdotes a menores em Braga ""canonicamente prescritos""
","um setúbal em braga
",Analogy,TFIDFVectorizer,TFIDFVectorizer
"Abusos sexuais de sacerdotes a menores em Braga ""canonicamente prescritos""
","a vitela de uma braga
",Analogy,TFIDFVectorizer,BERT
"Abusos sexuais de sacerdotes a menores em Braga ""canonicamente prescritos""
","em braga do melhor tatuador
",Analogy,BERT,TFIDFVectorizer
"Abusos sexuais de sacerdotes a menores em Braga ""canonicamente prescritos""
","são mais as avelãs que as bragas.
",Analogy,BERT,BERT
"Abusos sexuais de sacerdotes a menores em Braga ""canonicamente prescritos""
","ameixa de braga doce
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer
"Abusos sexuais de sacerdotes a menores em Braga ""canonicamente prescritos""
","ameixa de braga doce
",Comp_Vec,TFIDFVectorizer,BERT
"Abusos sexuais de sacerdotes a menores em Braga ""canonicamente prescritos""
","polícias em prescritos apuros
",Comp_Vec,BERT,TFIDFVectorizer
