Headline,Generated_Expression,Generation_Method,First_Selection,Final_Selection,Hugo_Syntax,Hugo_Relatedness,Hugo_Fun,Rui_Syntax,Rui_Relatedness,Rui_Fun
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"a tv do menino
",Comp_Vec,BERT,TFIDFVectorizer,3,5,2,3,5,2
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"a tv é tua
",-,-,TFIDFVectorizer,3,5,2,3,3,2
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"que é feito dos alunos na cave
",Substitution,TFIDFVectorizer,TFIDFVectorizer,3,4,2,3,4,3
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"o gangue do nível
",Substitution,BERT,TFIDFVectorizer,3,4,2,3,2,1
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"o que fazemos nas televisões
",Substitution,TFIDFVectorizer,BERT,3,5,1,3,4,2
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"a tv das turmas
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer,3,5,1,3,4,1
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"do prato à turma perde-se a tv.
",Comp_Vec,BERT,BERT,3,4,1,3,4,2
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"a tv das tvs
",Analogy,TFIDFVectorizer,TFIDFVectorizer,3,3,1,3,3,2
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"o que me ficou da tv
",Analogy,BERT,TFIDFVectorizer,3,3,1,3,3,1
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"tv de globo, tarde de calmeiro.
",Analogy,BERT,BERT,3,3,1,3,3,2
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"a turma da senhora peregrine para tvs peculiares
",Comp_Vec,TFIDFVectorizer,BERT,3,3,1,3,4,2
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"se estiveres a ser rico, não te esqueças de que foste pobre.
",Substitution,BERT,BERT,3,2,1,3,1,1
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"a arca de noé foi construída por amadores; os profissionais construíram o titanic.
",-,-,BERT,3,2,1,3,2,1
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"o record do teu coração
",Analogy,TFIDFVectorizer,BERT,3,1,1,3,2,1
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho","pode excluí o pobre sem esmola, mas não vai sem resposta.
",Comp_Vec,BERT,TFIDFVectorizer,2,4,3,2,4,2
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho","quem exclui medo compra um cão.
",Comp_Vec,BERT,BERT,3,4,3,2,2,2
