Headline,Generated_Expression,Generation_Method,First_Selection,Final_Selection
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"ano o seu cérebro
",Substitution,TFIDFVectorizer,TFIDFVectorizer
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"os desaparecidos são um vírus
",Substitution,TFIDFVectorizer,BERT
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"santos da casa não fazem efeitos.
",Substitution,BERT,TFIDFVectorizer
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"de fartas ceias estão as vítimas cheias.
",Substitution,BERT,BERT
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"ao menino e ao borracho avalia deus a mão por baixo.
",Analogy,TFIDFVectorizer,TFIDFVectorizer
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"avalia as causas, quem se concorda dos efeitos.
",Analogy,TFIDFVectorizer,BERT
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"em boca fechada não avaliam moscas.
",Analogy,BERT,TFIDFVectorizer
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"mais vale um que bem considere do que dois que mal avaliem.
",Analogy,BERT,BERT
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"ao menino e ao borracho avalia deus a mão por sobrevivente.
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"mente sobrevivente em corpo sobreviventeo
",Comp_Vec,TFIDFVectorizer,BERT
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"em boca sobrevivente não avaliam moscas.
",Comp_Vec,BERT,TFIDFVectorizer
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"sobrevivente nascente que nuvens desfaz, avalia a companha que bom tempo nos trás.
",Comp_Vec,BERT,BERT
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"teste o seu cérebro
",-,-,TFIDFVectorizer
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"a arca de noé foi construída por amadores; os profissionais construíram o titanic.
",-,-,BERT
UEFA mantém designação do Europeu 2020 e explica a decisão,"o dia mais europeu
",Substitution,TFIDFVectorizer,TFIDFVectorizer
UEFA mantém designação do Europeu 2020 e explica a decisão,"mordedura de cão cura-se com o parlamento do mesmo cão.
",Substitution,TFIDFVectorizer,BERT
UEFA mantém designação do Europeu 2020 e explica a decisão,"quem explica pão explica criação.
",Substitution,BERT,TFIDFVectorizer
UEFA mantém designação do Europeu 2020 e explica a decisão,"os comedores de genéricas
",Substitution,BERT,BERT
UEFA mantém designação do Europeu 2020 e explica a decisão,"a designação do nome
",Analogy,TFIDFVectorizer,TFIDFVectorizer
UEFA mantém designação do Europeu 2020 e explica a decisão,"o nome da designação
",Analogy,TFIDFVectorizer,BERT
UEFA mantém designação do Europeu 2020 e explica a decisão,"a designação é sempre mais verde do lado do vizinho.
",Analogy,BERT,TFIDFVectorizer
UEFA mantém designação do Europeu 2020 e explica a decisão,"vêm as designações, vão-se as denominações.
",Analogy,BERT,BERT
UEFA mantém designação do Europeu 2020 e explica a decisão,"a vida mantém uma designação
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer
UEFA mantém designação do Europeu 2020 e explica a decisão,"designação mantém formosura.
",Comp_Vec,TFIDFVectorizer,BERT
UEFA mantém designação do Europeu 2020 e explica a decisão,"a grama mantém sempre mais verde do lado do vizinho.
",Comp_Vec,BERT,TFIDFVectorizer
UEFA mantém designação do Europeu 2020 e explica a decisão,"a melhor defesa mantém o ataque.
",Comp_Vec,BERT,BERT
UEFA mantém designação do Europeu 2020 e explica a decisão,"a decisão de isabel
",-,-,TFIDFVectorizer
UEFA mantém designação do Europeu 2020 e explica a decisão,"o homem honrado não se autoriza com as opiniões do patife.
",-,-,BERT
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"um sindicato de homem
",Substitution,TFIDFVectorizer,TFIDFVectorizer
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"big fim - a obsessão de um adepto
",Substitution,TFIDFVectorizer,BERT
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"futebol ardente, futebol para sempre.
",Substitution,BERT,TFIDFVectorizer
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"que partidas ela volta?
",Substitution,BERT,BERT
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"a greve do sindicato: o regresso do rugido
",Analogy,TFIDFVectorizer,TFIDFVectorizer
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"o jornalista do sindicato
",Analogy,TFIDFVectorizer,BERT
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"a cabeça não serve só para usar sindicato.
",Analogy,BERT,TFIDFVectorizer
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"não há sábado sem sindicato, domingo sem missa nem segunda sem preguiça.
",Analogy,BERT,BERT
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"o sindicato exige de ouro.
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"guardado exige o sindicato
",Comp_Vec,TFIDFVectorizer,BERT
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"voz do sindicato exige voz de deus.
",Comp_Vec,BERT,TFIDFVectorizer
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"se bem guardas o que é teu, melhor guardarás o que não exigir.
",Comp_Vec,BERT,BERT
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"gala internacional de futebol
",-,-,TFIDFVectorizer
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"o homem honrado não se autoriza com as opiniões do patife.
",-,-,BERT
