News Title,Proverb,Similarity level
"Emissões atmosféricas aumentaram em 2017
","em abril, águas mil.
",0.6772858
"FMI quer impostos mais altos no carbono e avisa que fatura da energia tem de aumentar
","a boa fé é uma moeda, que quase não tem curso no comércio da vida.
",0.9311315
"‘Fatura do Ambiente’ revela que potencial de aquecimento global é maior que a atividade económica
","dar a César o que é de César e a Deus o que é de Deus.
",0.93629825
"""Em 2017 o potencial de aquecimento global aumentou 6,9% em Portugal""
","nas empresas arrojadas, o êxito depende do primeiro impulso.
",0.8883062
"""Como substituir o plástico descartável? Solução é reutilizar, diz Zero""
","o pior cego é aquele que não quer ver.
",0.8663108
"Dezenas de milhares de pessoas em protesto pelo clima na Europa e na Ásia
","desconfiai de vós, dos homens e do mundo, mas confiai em Deus.
",0.93432313
"Produção de combustíveis fósseis cresce 50% acima do necessário para travar aquecimento global
","a ordem dos fatores não altera o produto.
",0.867408
"Ponto por ponto. Tudo o que está em causa na cimeira do clima em Madrid
","mal por mal, antes na cadeia do que no hospital.
",0.9571547
"Pretende reduzir as emissões de gases de efeito estufa? Esteja atento às tecnologias digitais
","nunca desprezes as dádivas de hoje pelas promessas de amanhã.
",0.8239599
"Temperatura da Terra vai subir mesmo que compromissos sejam cumpridos
","a maior virtude dos que falam é calar o que não devem dizer.
",0.9176868
"Parlamento Europeu declara “emergência climática e ambiental”
","o homem põe e Deus dispõe.
",0.7487141
"""Quanto mais a Amazónia arde, mais derrete o gelo dos Andes""
","os olhos pedem mais do que a barriga aguenta.
",0.90898687
"Milhares de jovens juntam-se em Lisboa em defesa do clima
","desconfiai de vós, dos homens e do mundo, mas confiai em Deus.
",0.9364286
"Do clima ao Brexit: os desafios da Comissão Von der Leyen
","mais do que o dado, vale a maneira de o dar.
",0.9260494
"Greve global: Esperados mais de 100 mil manifestantes nas ruas de 153 paises em defesa do planeta
","desconfiai de vós, dos homens e do mundo, mas confiai em Deus.
",0.93408006
"Lisboa vai plantar 20 mil árvores e preparar-se para as alterações climáticas
","para baixo todos os santos ajudam, para cima é que as coisas mudam.
",0.8740382
"O antes e depois do degelo nos glaciares da Suíça
","desconfiai de vós, dos homens e do mundo, mas confiai em Deus.
",0.94292027
"Cientistas alertam que vários dos “piores cenários climáticos” já estão a acontecer
","a lição dos exemplos instrui muito mais, que a dos preceitos.
",0.9039877
"""Até 2030 o mundo tem de reduzir anualmente 7,6% das suas emissões de gases de estufa""
","desconfiai de vós, dos homens e do mundo, mas confiai em Deus.
",0.90271664
"Ciclones tropicais vão ser cada vez mais frequentes na Europa
","os vivos são sempre e cada vez mais governados pelos mais vivos.
",0.87876666
"A Terra Inabitável. Quando o terror é a reacção adequada
","é a fome e o frio que põe a lebre a caminho.
",0.9319057
"Urgência climática: OCDE quer que doadores parem de subsidiar combustíveis fósseis nos países em desenvolvimento
","em questões de amor e bravura, os que mais roncam são os que menos fazem.
",0.87412
"Canal de Suez faz 150 anos ameaçado pela rota num Ártico sem gelo
","mais vale ter um pássaro na mão do que dois a voar.
",0.9078702
