Headline,Generated_Expression,Generation_Method,First_Selection,Final_Selection
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"Teste o Seu Cérebro
",Substitution,TFIDFVectorizer,TFIDFVectorizer
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"Quando o Amor Chega
",Substitution,TFIDFVectorizer,BERT
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"santos da casa não fazem efeitos.
",Substitution,BERT,TFIDFVectorizer
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"de fartas ceias estão as vítimas cheias.
",Substitution,BERT,BERT
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"Quando o Amor Chega
",Analogy,TFIDFVectorizer,TFIDFVectorizer
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"avalia as causas, quem se analisa dos efeitos.
",Analogy,TFIDFVectorizer,BERT
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"santos da casa não avalia milagres.
",Analogy,BERT,TFIDFVectorizer
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"mais vale um que bem considera do que dois que mal avalia.
",Analogy,BERT,BERT
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"pequenos descuidos avalia sobreviventes males.
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"cada um avalia sobrevivente de seu pai.
",Comp_Vec,TFIDFVectorizer,BERT
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"chega-te aos bons, avalia como eles, chega-te aos sobreviventes, avalia pior do que eles.
",Comp_Vec,BERT,TFIDFVectorizer
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"o sobrevivente avalia mais que a avalia.
",Comp_Vec,BERT,BERT
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"Teste o Seu Cérebro
",-,-,TFIDFVectorizer
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"a Arca de Noé foi construída por amadores; os profissionais construíram o Titanic.
",-,-,BERT
UEFA mantém designação do Europeu 2020 e explica a decisão,"a grama é sempre mais verde do lado do europeu.
",Substitution,TFIDFVectorizer,TFIDFVectorizer
UEFA mantém designação do Europeu 2020 e explica a decisão,"o magnânimo tem por sua a denominação dos seus.
",Substitution,TFIDFVectorizer,BERT
UEFA mantém designação do Europeu 2020 e explica a decisão,"o europeu médico é o do terceiro dia.
",Substitution,BERT,TFIDFVectorizer
UEFA mantém designação do Europeu 2020 e explica a decisão,"tribunal que nasce torto morre torto.
",Substitution,BERT,BERT
UEFA mantém designação do Europeu 2020 e explica a decisão,"a designação é sempre mais verde do lado do vizinho.
",Analogy,TFIDFVectorizer,TFIDFVectorizer
UEFA mantém designação do Europeu 2020 e explica a decisão,"O Ritmo na Vida
",Analogy,TFIDFVectorizer,BERT
UEFA mantém designação do Europeu 2020 e explica a decisão,"a designação é sempre mais verde do lado do designado.
",Analogy,BERT,TFIDFVectorizer
UEFA mantém designação do Europeu 2020 e explica a decisão,"a designação é para o coração, o que a conotação é para o espírito.
",Analogy,BERT,BERT
UEFA mantém designação do Europeu 2020 e explica a decisão,"designação ganha, designação mantê.
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer
UEFA mantém designação do Europeu 2020 e explica a decisão,"a maior mismantêria mantê aquela que vem da designação.
",Comp_Vec,TFIDFVectorizer,BERT
UEFA mantém designação do Europeu 2020 e explica a decisão,"designação ganha, designação mantê.
",Comp_Vec,BERT,TFIDFVectorizer
UEFA mantém designação do Europeu 2020 e explica a decisão,"a melhor defesa mantê o ataque.
",Comp_Vec,BERT,BERT
UEFA mantém designação do Europeu 2020 e explica a decisão,"A Decisão de Isabel
",-,-,TFIDFVectorizer
